doc_id,doc_id_unique,ent_text,target
My_pdf814_method,My_pdf814_method_17_161,"Female C57BL/6 (B6; H-2$^{b}$) and NOD/Lt (H-2$^{g7}$) mice aged 12-15 weeks, were obtained from the Central Animal House at La Trobe University",12-15 weeks
My_pdf445new_method,My_pdf445new_method_2625_2807,"A total of 98 eight-week-old male Institute of Cancer Research (ICR) mice were reared in standard conditions of 23$_{7}$1 $_{°}$C temperature, 55% humidity, and 12 h light/dark cycle",8 weeks
My_pdf404new_method,My_pdf404new_method_42_177,"The study used 60 male Wistar rats (3-4 months old, purchased from Rappolovo, Russia) weighing 180-200 g at the start of the experiment",3-4 months
My_pdf853_method,My_pdf853_method_143_260,were performed on adult males at end stage (z 150-180 d); end stage was defined as a 20% decrease from peak body mass,AGE NOT SPECIFIED
My_pdf854_method,My_pdf854_method_38_153,Adult (10 weeks) female BALB/c×DBA/2 F1 (CD2F1) mice weighing 20-22 g were obtained from Charles River Laboratories,10 weeks
My_pdf654_method,My_pdf654_method_155_375,"Five cohorts of adult male long-Evan rats (Harlan Laboratories, Indianapolis, IN, USA; 250-300 g, 8 weeks old) were individually housed and maintained in a room on a 12/12-h light/dark cycle at 25 1 C and 50-60% humidity",8 weeks
My_pdf149new_method,My_pdf149new_method_71_209,"WT mice and tPA KO mice (gifts from the Center for Transgene Technology and Gene Therapy, KU Leuven, Belgium), 9 to 12 weeks old were used",9-12 weeks
My_pdf775_method,My_pdf775_method_608_709,"Male 7-to-8-week-old C57BL/6 J mice were purchased from the National Laboratory Animal Center, Taiwan",7-8 weeks
My_pdf583_method,My_pdf583_method_34_334,"Male Sprague Dawley rats (age, 6 weeks; weight, 180±10 g, n=26) were purchased from the Animal Experiment Center of Shandong University (Shandong, China) and individually housed (temperature, 23±1˚C; 55-60% humidity) and were exposed to a 12 h light/dark cycle (lights on from 8:00 a.m. to 8:00 p.m.)",6 weeks
My_pdf368new_method,My_pdf368new_method_41_166,"Male WAG/Rij, Wistar and ACI rats (1 and 6$_{e}$7 months old) were purchased from Harlan Italy Srl (Correzzana, Milan, Italy)","1 month, 6-7 months"
My_pdf368new_method,My_pdf368new_method_6170_6354,"The bilateral thalamus, amygdala and cortex, from young (2 months old) or adult (6 months old) control (Wistar and ACI rats) or WAG/Rij rats, were extracted immediately after sacrifice","2 months, 6 months"
My_pdf552new_method,My_pdf552new_method_985_1110,"Primary striatal neurons were obtained from 2-day-old C57BL/6J mice using a papain dissociation system (Worthington, NJ, USA)",2 days
My_pdf552new_method,My_pdf552new_method_5127_5452,"Organotypic cultures. Corticostriatal slices (300-μ m thick) were obtained from adult (8 weeks old) C57/BL6J mice, and cultured under semidry conditions in the Neurobasal medium supplemented with B27 (1%), N2 (1%), glutamine (1%), penicillin/streptomycin (1%), Fungizone (1%; Gibco) and ciprofloxacin (5 μ g/ml), as described",8 weeks
My_pdf552new_method,My_pdf552new_method_6858_7025,"67,68 R6/2 mice (3.5-4 weeks old) and their wild-type littermates were injected stereotactically with the viral vectors (in 1.5 μ l PBS) into the dorsolateral striatum",3.5-4 weeks
My_pdf552new_method,My_pdf552new_method_7331_7609,"ForDREADDexperiments in vivo, 8-week-old male C57BL/6J animals were injected stereotactically with viral vectors expressing the hM3Dq receptor fused to mCherry (or mCherry as control) under a minimal CaMKII α promoter into the dorsolateral striatum as described before.$^{9}$Six",8 weeks
My_pdf708_method,My_pdf708_method_72_205,"Under aseptic conditions, the epineurium was dissected bilaterally from the sciatic nerves in neonatal SD rats (4-6 days after birth)",4-6 days
My_pdf708_method,My_pdf708_method_1533_1682,"A total of 140 male, pathogen-free Lewis rats, 4$_{-}$6 weeks old, weighing 150$_{-}$200 g (Vital River, Peking, China) were used for the experiments",4-6 weeks
My_pdf901_method,My_pdf901_method_1607_1709,"Adult Long Evans Rats (275-300 g, 70-75 days old) were anesthetized with pentobarbital and decapitated",70-75 days
My_pdf901_method,My_pdf901_method_3225_3327,"Adult Long Evans Rats (275-300 g, 70-75 days old) were anesthetized with pentobarbital and decapitated",70-75 days
My_pdf936_method,My_pdf936_method_697_880,"Adult mice (8 weeks) were anesthetized with avertin (12.6% tribromoethanol, 0.6% tert-amyl alcohol; Sigma, St Louis, MO) and a T9 laminectomy was performed to exposure the dorsal cord",8 weeks
My_pdf228new_method,My_pdf228new_method_52_245,"Adult female Wistar rats, approximately 3 months old, weighing 190-215 g were housed in a temperaturecontrolled room and maintained on 12-h light/dark cycles, with free access to food and water",3 months
My_pdf412new_method,My_pdf412new_method_1059_1165,"Day old cockerels were obtained from National Animal Production Research Institute (NAPRI), Zaria, Nigeria",1 day
My_pdf900_method,My_pdf900_method_159_276,"A total of 28 male Fisher 344 rats, 3 months old at time of purchase, were lesioned to serve as transplant recipients",3 months
My_pdf542new_method,My_pdf542new_method_149_298,"The study included a total 297 C57BL/6J mice aged two months (150 males and 147 females), purchased from The Jackson Laboratory (Bar Harbor, ME, USA)",2 months
My_pdf79new_method,My_pdf79new_method_1297_1397,"Male ICR mice (5 weeks old, 25-30 g) were purchased from Daehan Biolink. Co., Ltd. (Chunkbuk, Korea)",5 weeks
My_pdf7new_method,My_pdf7new_method_1364_1507,"Six-week old, double transgenic AD mice (B6C3-Tg (A 훃 PPswe, PSEN1dE9) 85Dbo/Mmjax) were obtained from Jackson Laboratory (Bar Harbor, ME, USA)",6 weeks
My_pdf675_method,My_pdf675_method_246_402,"Male hooded rats CrL: LIS obtained from Charles River, 6-7 weeks of age were kept at 12-h light/dark cycle, ambient temperature 24-26 °C and humidity of 65%",6-7 weeks
My_pdf681_method,My_pdf681_method_1430_1521,24 Male Wistar rats (3 month old) weighing 250 ± 5gat the start of the experiment were used,3 months
My_pdf816_method,My_pdf816_method_1866_2124,"Twelve male Wistar rats, 2.5-3 months old were obtained from the Central Animal Laboratory House (UNI-FESP, Brazil), housed in polypropylene cages maintained at 22 ± 2 ° C and 12-h light/dark cycles, and provided with a standard diet and free access to water",2.5-3 months
My_pdf532new_method,My_pdf532new_method_1332_1561,"The BTBR male 6-8-week-old mice were obtained from Jackson Laboratories (Bar Harbor, ME, USA) and B6 male mice aged 6-8 weeks old were obtained from the animal house of the College of Pharmacy of King Saud University, Riyadh, KSA",6-8 weeks
My_pdf688_method,My_pdf688_method_54_204,"Female C57BL/6 (9-10 weeks old) and BALB/c (9-10 weeks old) mice were commercially purchased from Envigo (Envigo RMS GmbH, Venray, AN the Netherlands)",9-10 weeks
My_pdf811_method,My_pdf811_method_1750_1836,Curcumin treatment was started when the mice were 3.5-month old and lasted for 4 weeks,3.5 months
My_pdf617_title^abstract,My_pdf617_title^abstract_848_1030,"At 9-10 months of age, Tg2576-transgenic [Tg(+)] mice develop Abeta plaques and impairments on paradigms related to learning and memory as compared to transgene-negative [Tg(-)] mice",9-10 months
My_pdf617_method,My_pdf617_method_957_1128,"Beginning at 9 months of age, 16 Tg(+) mice and 16 Tg(-) littermates were divided into three groups (each group containing five or six Tg(+) and five or six Tg(-) animals)",9 months
My_pdf628_method,My_pdf628_method_366_449,Thirty Wistar rats weighing 200-300 g (3-4 months old) were used in this experiment,3-4 months
My_pdf573new_method,My_pdf573new_method_204_221,6-10 weeks of age,6-10 weeks
My_pdf19new_method,My_pdf19new_method_390_698,A total of 40 pathogen-free Sprague Dawley (SD) male rats (age: 8 weeks; bodyweight: 250-300 g) were obtained from Shanghai SLAC Laboratory Animal Co. Ltd. and raised in the laboratory for 1 week of adaption in a 12/12 light/dark cycle with the temperature of 21 +-2 $^{·}$C and free access to water and food,8 weeks
My_pdf627_method,My_pdf627_method_595_853,"Ten-week-old male C57BL/6 mice were lightly anesthetized and received an intraperitoneal injection of 200 mg/kg STZ (Calbiochem, La Jolla, CA, USA) immediately after dissolving it in 0.1 M citrate buffer pH 4.5 (DM mice), or citrate buffer only (Normal mice)",10 weeks
My_pdf495new_method,My_pdf495new_method_343_570,All mice weighing 25-30 g can arbitrarily access to water and are fed with standard rodent food in a 22 ± 2 °C environment under a 12 h light/ 12 hr dark cycle (8:00 am-8:00 pm.) until they reached the desired age (9-10 months),9-10 months
My_pdf895_method,My_pdf895_method_694_856,"Adult male Sprague-Dawley rats, 240-260 g in weights, seven to eight weeks old, were provided by the Experimental Animal Center of China Pharmaceutical University",7-8 weeks
My_pdf892_method,My_pdf892_method_1908_2003,Nude (Hsd: Athymic Nude-Foxn1nu) 5-6 week old female mice (Harlan) were used for animal studies,5-6 weeks
My_pdf391new_method,My_pdf391new_method_182_303,"Male, 12 weeks old C57Bl6 mice, weighing 20-25 g at the beginning of the experiments, were used (Charles River, Sulzfeld,",12 weeks
My_pdf391new_method,My_pdf391new_method_305_313,Germany),AGE NOT SPECIFIED
My_pdf694_title^abstract,My_pdf694_title^abstract_518_711,"Six-week-old male Wistar rats that had access to normal drinking water, or water containing 0.1% (w/v) EGCG ad libitum, received TBI with a pneumatic controlled injury device at 10 weeks of age",10 weeks
My_pdf694_method,My_pdf694_method_84_226,"Adult male Wistar rats (6 weeks of age, weighing 120-140 g) were housed at 22 ° C under a 12:12-h light-dark cycle and had free access to food",6 weeks
My_pdf694_method,My_pdf694_method_656_1091,"Six-week-old male Wistar rats were randomly divided into three groups: (1) water group: rats had access to normal drinking water ad libitum from 6 to 10 weeks of age, (2) EGCG treatment group: rats had access to 0.1% (w/v) EGCG drinking water ad libitum from 6 to 10 weeks of age and (3) sham group: age-matched rats had access to normal drinking water ad libitum from 6 to 10 weeks of age and underwent a sham operation with no impact",6 weeks
My_pdf519new_method,My_pdf519new_method_34_203,"Two to three months old normal ICR mice (Envigo, Indianapolis, IN) were housed under SPF conditions at the University of Florida McKnight Brain Institute animal facility",2-3 months
My_pdf832_method,My_pdf832_method_34_256,"Young (2-3 months old) and aged (20-24 months old) C57BL/6 male mice (n=6-8/group for behavioral tests, n=4-5/group for biochemical analysis) from the Charles River Laboratories (Bar Harbor, Maine) were used for this study","2-3 months, 20-24 months"
My_pdf858_method,My_pdf858_method_284_433,Sixty adult male C57BL/6 mice (6-8 weeks of age; 20-25 g; Charles River) were single housed on a 12-h light/dark cycle with food and water ad libitum,6-8 weeks
My_pdf9new_method,My_pdf9new_method_9822_9921,"In experiment 1, 12-wk-old female C57BL/6 mice (n = 22) were randomized into three different groups",12 weeks
My_pdf9new_method,My_pdf9new_method_10282_10377,"In experiment 2, 9-wk-old female C57BL/6 mice (n = 32) were randomized in four different groups",9 weeks
My_pdf253new_method,My_pdf253new_method_20_190,"Adult common marmosets (Callithrix jacchus) of either sex (n =18, 11 males and 7 females aged 2$_{-}$7 years; weight 350$_{-}$500 g; Harlan UK Ltd) were used in the study",2-7 years
My_pdf193new_method,My_pdf193new_method_656_818,Two-month-old FVB mice were stereotaxically injected with 25 or 100 ng GDF-5 in a volume of 1 훍 l sterilized physiological saline solution once daily for one week,2 months
My_pdf193new_method,My_pdf193new_method_1500_1662,Two-month-old FVB mice were stereotaxically injected with 25 or 100 ng GDF-5 in a volume of 1 훍 l sterilized physiological saline solution once daily for one week,2 months
My_pdf120new_method,My_pdf120new_method_1609_1802,Six-to eight-week-old athymic nude male or female mice were obtained from Envigo Research Models and Services and from Charles River Laboratories and were maintained in a pathogen-free facility,6-8 weeks
My_pdf52new_method,My_pdf52new_method_22_148,"Male Sprague-Dawley rats (15-16 weeks) weighing 250-275 g were obtained from the Laboratory Animal Center, Nanchang University",15-16 weeks
My_pdf155new_method,My_pdf155new_method_322_445,"Sixty adult Wistar rats weighting 180-220 g were purchased from experiment animal center of Jilin University (Jilin, China)",adult
My_pdf13new_method,My_pdf13new_method_21_165,"Adult female Long-Evans rats (Harlan Sprague-Dawley, Indianapolis, IN) weighing 225 to 250 g at the time of surgery were used in all experiments",adult
My_pdf776_method,My_pdf776_method_126_235,"Kunming mice (6-to 8-week-old male, 18-22 g) were gained from Chengdu Dashuo experimental animals Corporation",6-8 weeks
My_pdf448new_method,My_pdf448new_method_416_594,"Fifty-four juvenile male C57bl/6 mice (aged 4-5 weeks) were used in the study, and were divided into two main groups: (i) shamexposed mice (controls); and (ii) ELFEF-exposed mice",4-5 weeks
My_pdf124new_method,My_pdf124new_method_66_325,"Adult male Sprague-Dawley (SD) rats (270 to 340 g) were obtained from LASCO (Taipei, Taiwan) or from Taconic (Germantown, NY, USA) for use in studies performed at Taipei Medical University and the Intramural Research Program of the National Institute on Aging",adult
My_pdf777_method,My_pdf777_method_3992_4055,Stereotaxic injections into the hippocampus of adult P301S mice,adult
My_pdf777_method,My_pdf777_method_4437_4557,"For this study, mice were treated at 2-3 months of age and the animals were killed and brain tissue analyzed at 6 months",2-3 months
My_pdf777_method,My_pdf777_method_4559_4565,of age,AGE NOT SPECIFIED
My_pdf347new_title^abstract,My_pdf347new_title^abstract_399_516,Adult male F344 rats were injected bilaterally into the medial forebrain bundle with the neurotoxin 6-hydroxydopamine,adult
My_pdf347new_method,My_pdf347new_method_34_169,"Fischer 344 male rats, age 3 months, were obtained from Harlan Sprague-Dawley and acclimated for 1 week prior to the start of the study",3 months
My_pdf587_method,My_pdf587_method_484_611,"Three-month-old male (Hemizygous) mice were used as an asymptomatic AD model before starting the treatment (Mucke et al., 2000)",3 months
My_pdf587_method,My_pdf587_method_613_671,Male C57BL/6 WT mice (3 months old) were used as a control,3 months
My_pdf767_method,My_pdf767_method_1049_1203,"Rotations were measured in male Wistar rats (Interfauna, Tuttlingen, Germany), weighing 400-590 g, aged 10 months and housed in groups of 4 under standard",10 months
My_pdf767_method,My_pdf767_method_1205_1234,conditions as described above,AGE NOT SPECIFIED
My_pdf793_method,My_pdf793_method_872_1021,A total of 48 adult male Sprague-Dawley (SD) rats (250-270 g) were obtained from the Animal Resource Center of the First Hospital of Jilin University,adult
My_pdf340new_method,My_pdf340new_method_58_541,"Female PL r J mice 8-10 weeks old, purchased from. The Jackson Laboratories Bar Harbor, were immunized s.c. at the tail base with 300 m g purified guinea pig MBP emulsified in an equal volume of phosphate buffered saline PBS and complete Freund's adjuvant CFA; Difco Labora-. tories, Detroit supplemented with 4 mg r ml killed My-. cobacterium tuberculosis, H37Ra Difco. 400 ng Borde-. tella pertussis toxin BP; Sigma, St. Louis were then administered i.p. immediately and 48 h later",8-10 weeks
My_pdf590_title^abstract,My_pdf590_title^abstract_462_671,"Here, we examined the regulation of receptors for brain-derived neurotrophic factor, glial cell line-derived neurotrophic factor, ciliary neurotrophic factor, and pleiotrophin after root avulsion in adult rats",adult
My_pdf590_method,My_pdf590_method_190_266,A total of 74 adult male Sprague-Dawley rats weighing 280 to 320 g were used,adult
My_pdf958_method,My_pdf958_method_1021_1133,"For studies in which treatment began before symptom onset, treatment commenced when the mice were 38-41 days old",38-41 days
My_pdf331new_method,My_pdf331new_method_34_449,"Thirty-two female Sprague$_{-}$Dawley rats were purchased from Harlan Netherlands (Horst, Netherlands) at an age of 9 weeks (body weight of 200 to 220 g) and kept under controlled environmental conditions (23±1 °C; 50$_{-}$60% humidity; 12-h light/dark cycle; light on at 6:00 a.m.) with free access to standard laboratory chow (Altromin 1324 standard diet, Altromin Spezialfutter GmbH, Lage, Germany) and tap water",9 weeks
My_pdf92new_method,My_pdf92new_method_32_207,Adult male Wistar rats were randomly divided into three groups. Rats in the first group were subjected to TBI and given saline orally 1 day later and consecutively for 14 days,adult
My_pdf230new_method,My_pdf230new_method_1838_1981,The Npc1-/mice were tail tipped and genotyped at 21 days of age. Npc1-/pups and their littermates had been injected on day 7 as described above,"21 days, 7 days"
My_pdf103new_title^abstract,My_pdf103new_title^abstract_377_460,"Adult rats, 12 week after the inoculation of virus, were used for the further study",adult
My_pdf103new_method,My_pdf103new_method_33_116,"Albino Wistar rats (13 days old) were procured from Shanghai medical college, China",13 days
My_pdf598_method,My_pdf598_method_25_227,"Murine model of peripheral inflammation. Mice (all on C57BL/6 genetic background, males, 6-8 weeks old) were used for all studies (The Jackson Laboratory) and were maintained in a pathogen-free facility",6-8 weeks
My_pdf766_method,My_pdf766_method_1897_1998,"Female nude mice, 6 to 8 weeks old, were purchased from the laboratory animal services center in CUHK",6-8 weeks
My_pdf613_method,My_pdf613_method_299_442,All mice were male C57BL/6J (12 weeks of age) and housed in a barrier facility with free access to food and water on a 12-hour light dark cycle,12 weeks
My_pdf846_method,My_pdf846_method_546_692,Twenty-three male and female domestic dogs of different ages and breeds and with different cognitive deficits were included in the study (table 1),AGE NOT SPECIFIED
My_pdf884_method,My_pdf884_method_927_1183,"For the first study, 41 transgenic animals (21 wethers, 20 ewes), aged approximately 8 months, were injected unilaterally with 300 l L of self-complementary AAV9 (scAAV9) vector at a titer of 1 · 10$^{13}$genome copies (gc)/mL for a total of 3 · 0$^{12}$gc",8 months
My_pdf884_method,My_pdf884_method_1248_1359,"For the second study, 14 animals, aged 14 months, were injected with test vector and 14 with the control vector",14 months
My_pdf21new_title^abstract,My_pdf21new_title^abstract_620_806,Adult male Sprague-Dawley rats were divided into four groups: (1) control group (n = 28); (2) SAH group (n = 28); (3) SAH + vehicle group (n = 28); and (4) SAH + tamoxifen group (n = 28),adult
My_pdf21new_method,My_pdf21new_method_34_178,"Male Sprague-Dawley (SD) rats (310 to 360 g; 12 weeks old) were purchased from Animal Center of the Chinese Academy of Sciences, Shanghai, China",12 weeks
My_pdf351new_method,My_pdf351new_method_1335_1402,"We used male C57BL/6 black mice, 8 weeks of age, in the experiments",8 weeks
My_pdf132new_method,My_pdf132new_method_187_300,"In all, 118 adult Sprague Dawley rats (275-300 g; Charles River) were used in the experiments outlined in Table 1",adult
My_pdf677_method,My_pdf677_method_366_695,"For induction of active and adoptive transfer of EAE, 8-to 12-wk-old female mice were immunized s.c. with 100 μ g of MOG$_{35}$$_{-}$$_{55}$ emulsified in complete Freund ' s adjuvant (CFA), consisting of incomplete Freund ' s adjuvant and 0.4 mg of heat-inactivated Mycobacterium tuberculosis, strain H37 RA (Difco Laboratories)",8-12 weeks
My_pdf482new_method,My_pdf482new_method_418_496,"After habituation for one week, 6-week-old rats were used in the present study",6 weeks
My_pdf809_method,My_pdf809_method_8779_8942,"previously.$^{63}$In brief, 3-monthold mice were anesthetized with ketamine and xylazine (80/10 mg/kg, intraperitoneally [i.p.]) and placed in a stereotactic frame",3 months
My_pdf896_method,My_pdf896_method_1037_1168,Induction of CVH and Behavioral Testing for CVH. Neonatal rats were subjected to daily mechanical CRD at t h ea g eo f8-2 1d a y s.,8-21 days
My_pdf430new_method,My_pdf430new_method_42_233,"Adult, male Wistar rats (200$_{e}$250 g) were housed in groups of three per cage in a temperature-controlled room (24 ± 1 C) with a 12/12 h light/dark cycle with free access to food and water",adult
My_pdf630_method,My_pdf630_method_328_433,"Adult male C57BL/6J mice (weighing 23 to 26 g; Shanghai SLAC Laboratory Animal Co. Ltd., China) were used",adult
My_pdf98new_method,My_pdf98new_method_42_272,"Male ICR mice (weight, 25$_{e}$30 g; age, 6$_{e}$7 weeks old) were obtained from the Animal Center of the College of Basic Medical Sciences in Jilin University (Jilin, China) with approval from the Animal Research Ethics Committee",6-7 weeks
My_pdf535new_method,My_pdf535new_method_3400_3461,"Female C57BL6 mice, 5-6 weeks of age, were purchased from NCI",5-6 weeks
My_pdf5new_method,My_pdf5new_method_25_148,Experiments were performed on WAG (Wistar Albino Glaxo) female rats (n = 11) 3-months-old at the time of spinal cord injury,3 months
My_pdf582_method,My_pdf582_method_2202_2500,"Male Wistar rats (200-250 g) for oxaliplatin-induced peripheral neuropathy model and 6-week-old male BALB/c mice (21-23 g) for in vivo tumor growth model were feeded in Experimental Animal Center, Jiangsu Academy of Traditional Chinese Medicine (Nanjing, China). Animals had free access to food and",6 weeks
My_pdf582_method,My_pdf582_method_2502_2527,water in their home cages,AGE NOT SPECIFIED
My_pdf585_method,My_pdf585_method_56_141,"Adult male Wistar rats (220-250 g, Pasteur Institute of Iran) were used in this study",adult
My_pdf788_method,My_pdf788_method_43_261,"Sixty adult male Wistar rats (60 days old, weighing 250-350 g) were divided into four groups (n = 15/group) and were exposed to a 12-h light/dark cycle (lights on at 7:00 $^{AM) at a constant temperature of 22 }$± 1 °C",60 days
My_pdf500new_method,My_pdf500new_method_594_714,Adult male Wistar rats (200-220 g) were acquired from the Experiment Animal Center of Chinese Academy of Medical Science,adult
My_pdf918_method,My_pdf918_method_859_914,Eight-week-old male mice were used throughout the study,8 weeks
My_pdf773_title^abstract,My_pdf773_title^abstract_409_647,"This study examined the effect of SF on isocapnic HVR and hypercapnic ventilatory responses (HCVR), and investigated the time course of and the role of adenosine A1 receptors in these SF effects in conscious adult male Sprague-Dawley rats",adult
My_pdf773_method,My_pdf773_method_127_270,"Experiments were conducted on adult male Sprague-Dawley rats (250-475 g, about 3-5 month old; colony CDIGS, Charles River, Wilmington, MA, USA)",3-5 months
My_pdf561new_method,My_pdf561new_method_246_402,"Male hooded rats CrL: LIS obtained from Charles River, 6-7 weeks of age were kept at 12-h light/dark cycle, ambient temperature 24-26 °C and humidity of 65%",6-7 weeks
My_pdf555new_method,My_pdf555new_method_175_515,"Eight-to 10week-old C57Bl/6 (Jackson Laboratories, Bar Harbor, ME) were inoculated intraperitoneally (IP) with 1 × 10 6 PbA parasites expressing the green fluorescent protein (PbA-GFP, a donation from the Malaria Research and Reference Reagent Resource Center-MR4, Manassas, VA; deposited by C.J. Janse and A.P. Waters; MR4 number: MRA-865)",8-10 weeks
My_pdf943_method,My_pdf943_method_1580_1793,"At 4 weeks of age, mice were anesthetized with isoflurane and injected intramuscular in the gastrocnemius and triceps muscles with ad-Noggin (1×10$^{9}$ pfu/injection), ad-lacZ (1×10$^{9}$ pfu/injection) or saline",4 weeks
My_pdf493new_method,My_pdf493new_method_41_171,"Adult male gerbils (n = 42, 65-75 g) were obtained from the Laboratory Animal Center of Taichung Veterans General Hospital (TCVGH)",adult
My_pdf909_method,My_pdf909_method_4101_4219,"We did two series of experiments, using Long-Evan's hooded female rats that were 77-80 days old and weighed 220-230 g.",77-80 days
My_pdf443new_method,My_pdf443new_method_34_321,"Neonatal Wistar rats (2 days old) were obtained from the Multidisciplinary Center for Biological Investigation (Multidisciplinary Center for Biological Investigation/UNICAMP) and housed using a 12 h light/dark cycle and controlled temperature (23 ° C), with free access to food and water",2 days
My_pdf701_method,My_pdf701_method_34_203,One hundred and twenty adult male Sprague-Dawley rats weighing 260-300 g were used for the experiments and randomly divided into four groups of thirty rats in each group,adult
My_pdf730_method,My_pdf730_method_5579_5788,"Ten-month-old APP/PS1 mice or their B6C3 littermates were anesthetized with ketamine/xylazine intraperitoneally and fixed in a stereotaxic apparatus (Stoelting, Wood Dale, IL, USA) for hUCB-MSC transplantation",10 months
My_pdf754_method,My_pdf754_method_479_558,Postnatal day 7 (P7) pups were blindly assigned to the following (n = 8/group):,7 days
My_pdf189new_method,My_pdf189new_method_342_452,"Experiments were performed on male spontaneously hypertensive rats (SHR; n 5 20, 5-8 months of age, 330-438 g)",5-8 months
My_pdf595_method,My_pdf595_method_203_449,"Seventeen 3-monthold male SAMP8 mice were fed with control diet (LabDiet 5015, TestDiet, Richmond, IN) and eighteen 3-month-old male SAMP8 mice were fed with fisetin diet (LabDiet 5015 + 500 ppm fisetin, TestDiet) until they reached 10 months old",3 months
My_pdf595_method,My_pdf595_method_623_696,Fourteen 3-month-old male SAMP8 mice were used as the young control group,3 months
My_pdf507new_method,My_pdf507new_method_55_365,"The animals used in the present study were adult male Sprague Dawley rats (weighing 200-250 g, 2 months old) and were housed under controlled conditions with 12 hours light-dark diurnal cycle at 22 ± 1 $^{∘}$C, with humidity at 50-60% and with free access to food and water except during experimental handlings",2 months
My_pdf731_method,My_pdf731_method_48_258,"Eight week-old male Wistar rats (Charles River Co., Japan) weighing 300-330g were housed in plastic cages with a 12 : 12 hrs artificial light cycle at a room temperature of 21 + 1.5 ~ and a humidity of 56 + 3 %",8 weeks
My_pdf707_method,My_pdf707_method_123_458,"Data were collected from one female rhesus macaque (25 yr.) rendered parkinsonian by two intracarotid and two systemic injections of the neurotoxin 1-methyl-4-phenyl-1,2,3,6 tetrahydropyridine (MPTP) and implanted in the STN with a 4-contact scaled version of a human DBS lead (NuMed) using standard approaches described elsewhere [19]",25 years
My_pdf49new_method,My_pdf49new_method_40_139,"Wild-type C57BL/6 mice (10 weeks old, female) were purchased from Japan SLC, Inc. (Shizuoka, Japan)",10 weeks
My_pdf259new_method,My_pdf259new_method_1647_1760,"The 90 adult rats were randomly divided into three groups (n = 30): sham group, TBI group, and BMSC-treated group",adult
My_pdf955_method,My_pdf955_method_61_154,"Adult (8-9 weeks of age) male C57BL/6 mice were purchased from Clea Japan Inc. (Tokyo, Japan)",8-9 weeks
My_pdf686_method,My_pdf686_method_365_456,"Male C57BL/6J mice (6 weeks old) were purchased from SLC (SLC Japan Inc., Shizuoka, Japan).",6 weeks
My_pdf522new_method,My_pdf522new_method_54_186,"Adult male Sprague-Dawley (SD) rats weighing 300-320 g were purchased from Slac Laboratory Animal Company Limited (Shanghai, China).",adult
My_pdf873_method,My_pdf873_method_42_392,"Homozygous triple-transgenic 3xTg-AD mice (PS1$_{M146V}$ knock-in, APP$_{swe}$, tau$_{p301L}$) and PS1$_{M146V}$ knock-in mice (named non-Tg) from the in-house colony at the University of Antioquia that were maintained at the SIU (Sede de Investigaci ó n Universitaria) specific pathogen-free vivarium in Medellin, Colombia, were used at 6 months old",6 months
My_pdf229new_method,My_pdf229new_method_42_114,Ten-week-old male rats of the Wistar strain were obtained from Japan SLC,10 weeks
My_pdf553new_method,My_pdf553new_method_3737_3826,"For behavioral testing of C57BL6/NTAC or M1-KO mice, 8-to 12-week-old male mice were used",8-12 weeks
My_pdf821_method,My_pdf821_method_371_493,Adult male Wistar rats (n = 19) weighing 250-300 g were subjected to permanent bilateral carotid artery occlusion (BCCAO).,adult
My_pdf485new_method,My_pdf485new_method_54_180,"Male C57BL/6 mice of 12 weeks old were used throughout the whole study (C57BL/6, Jax mice strain, Charles River Laboratories).",12 weeks
My_pdf620_method,My_pdf620_method_25_313,"Pathogen-free, adult female and male Sprague-Dawley (S/D) rats (150-200 g; Harlan Laboratories, Madison, WI) were housed in temperature (23 6 3 u C) and light (12-h light: 12-h dark cycle; lights on at 07:00 h) controlled rooms with standard rodent chow and autoclaved tap water available",adult
My_pdf620_method,My_pdf620_method_3317_3492,"Lumbar dorsal root ganglia (DRG; L4-L5) were dissected from adult Sprague Dawley rats, frozen in liquid nitrogen, and maintained at 2 80 u C until processed for RNA extraction",adult
My_pdf843_method,My_pdf843_method_206_305,Mice exactly 4 weeks old and 12 weeks old at the beginning of the experimental treatments were used,"4 weeks, 12 weeks"
My_pdf222new_method,My_pdf222new_method_494_573,A total of 134 DBA/2J mice with ages from 2 to 30 weeks were used in this study,2-30 weeks
My_pdf222new_method,My_pdf222new_method_575_689,2-week or 8-week old B6 mice (5 in each group) were randomly chosen for an age-matched analysis of gene expression,"2 weeks, 8 weeks"
My_pdf111new_method,My_pdf111new_method_2387_2530,"Healthy 7-day-old Sprague-Dawley rats, of either sex, weighing 12-15 g, were randomly divided into four groups of 20 in each group, as follows:",7 days
My_pdf868_method,My_pdf868_method_379_736,"EAE was induced in 10-12 weeks old, age matched female mice by subcutaneous immunization on both flanks with 200 m l of emulsion containing either Complete Fruend's adjuvant (100 m l of incomplete Fruend's adjuvant with 8 mg/ml of Mycobacterium Tuberculosis and 100 m l of PBS) (DIFCO Laboratories) or Complete Fruend's adjuvant with 200 m g of MOG (35-55).",10-12 weeks
My_pdf868_method,My_pdf868_method_6737_6803,Three to four months old male Wistar rats were used for this study,3-4 months
My_pdf850_method,My_pdf850_method_6276_6451,Adult (4-6 months old) female ovariectomized Sprague-Dawley rats were injected subcutaneously with 17b-estra-$_{diol (30 }$µ$_{g/kg) in sesame oil 2 weeks following surgery.}$,4-6 months
